City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,midland,31.9974,-102.0779,279.85,54,0,4.63,US,1669910471
1,haines junction,60.7522,-137.5108,260.66,87,100,1.05,CA,1669910723
2,rikitea,-23.1203,-134.9692,296.4,73,71,4.86,PF,1669910723
3,barrow,71.2906,-156.7887,266.16,93,100,3.6,US,1669910723
4,bambous virieux,-20.3428,57.7575,297.71,72,13,3.52,MU,1669910723
5,pudozh,61.8099,36.5345,263.4,93,100,0.96,RU,1669910724
6,ust-kuyga,70.0167,135.6,251.06,99,100,1.27,RU,1669910724
7,sisimiut,66.9395,-53.6735,259.35,88,64,4.59,GL,1669910724
8,hobart,-42.8794,147.3294,284.07,76,100,1.54,AU,1669910724
9,hermanus,-34.4187,19.2345,294.15,80,77,5.47,ZA,1669910629
10,avarua,-21.2078,-159.775,298.18,94,75,4.63,CK,1669910724
11,hadrut,39.52,47.0318,274.4,98,100,1.28,AZ,1669910724
12,yumen,40.2833,97.2,263.66,61,93,7.94,CN,1669910725
13,tuktoyaktuk,69.4541,-133.0374,254.01,95,99,1.86,CA,1669910725
14,tasiilaq,65.6145,-37.6368,276.24,76,100,2.76,GL,1669910725
15,yellowknife,62.456,-114.3525,245.68,75,100,1.34,CA,1669910725
16,nanortalik,60.1432,-45.2371,270.28,76,4,13.57,GL,1669910725
17,mahebourg,-20.4081,57.7,297.73,73,21,3.58,MU,1669910554
18,kodiak,57.79,-152.4072,277.88,52,0,13.89,US,1669910472
19,susangerd,31.5608,48.1831,297.66,46,0,1.29,IR,1669910726
20,albany,42.6001,-73.9662,275.53,51,8,1.79,US,1669910726
21,shanting,35.0753,117.4578,270.92,23,100,0.32,CN,1669910726
22,jieshi,22.8134,115.8257,286.72,74,100,5.07,CN,1669910726
23,bengkulu,-3.8004,102.2655,297.44,88,100,1.07,ID,1669910726
24,esperance,-33.8667,121.9,290.54,92,19,7.94,AU,1669910726
25,punta arenas,-53.15,-70.9167,287.21,47,100,15.95,CL,1669910727
26,yuancheng,36.652,107.7896,267.03,29,63,2.76,CN,1669910727
27,mataura,-46.1927,168.8643,283.42,91,74,2.43,NZ,1669910727
28,kapaa,22.0752,-159.319,295.33,83,20,2.06,US,1669910727
29,nanakuli,21.3906,-158.1547,296.54,74,0,3.09,US,1669910727
30,bethel,41.3712,-73.414,277.9,57,100,5.14,US,1669910728
31,buchanan,5.8808,-10.0467,301.55,69,80,3.38,LR,1669910728
32,katsuura,35.1333,140.3,284.65,85,100,4.65,JP,1669910547
33,mareeba,-17.0,145.4333,294.55,97,94,1.16,AU,1669910728
34,puerto ayora,-0.7393,-90.3518,297.13,83,85,4.47,EC,1669910729
35,ushuaia,-54.8,-68.3,288.96,41,75,7.2,AR,1669910662
36,benton harbor,42.1167,-86.4542,274.29,75,100,4.63,US,1669910729
37,yoichi,43.2039,140.7703,269.39,75,100,9.06,JP,1669910729
38,amahai,-3.3333,128.9167,299.2,81,100,1.48,ID,1669910730
39,jamestown,42.097,-79.2353,271.92,91,100,7.2,US,1669910730
40,paka,4.6374,103.4368,297.25,87,100,2.01,MY,1669910730
41,guerrero negro,27.9769,-114.0611,289.33,69,59,4.74,MX,1669910730
42,saurimo,-9.6608,20.3916,295.29,87,100,2.06,AO,1669910731
43,vaini,-21.2,-175.2,297.24,94,20,1.54,TO,1669910731
44,cherskiy,68.75,161.3,252.24,97,100,5.73,RU,1669910731
45,moose factory,51.2585,-80.6094,267.14,79,100,10.8,CA,1669910589
46,salalah,17.0151,54.0924,297.31,72,0,1.98,OM,1669910579
47,cidreira,-30.1811,-50.2056,297.66,80,100,6.63,BR,1669910731
48,kenai,60.5544,-151.2583,258.2,92,0,0.0,US,1669910731
49,nioro,13.35,-15.75,307.78,14,61,2.22,GM,1669910731
50,peace river,56.2501,-117.286,243.32,83,20,1.54,CA,1669910732
51,san cristobal,7.7669,-72.225,291.25,87,87,2.07,VE,1669910732
52,new norfolk,-42.7826,147.0587,283.87,66,63,0.45,AU,1669910732
53,qaanaaq,77.484,-69.3632,240.77,82,9,2.77,GL,1669910674
54,sampit,-2.5333,112.95,296.64,97,100,0.45,ID,1669910701
55,qaqortoq,60.7167,-46.0333,265.23,74,2,2.95,GL,1669910732
56,balabac,7.9868,117.0645,299.59,86,100,5.71,PH,1669910733
57,sitka,57.0531,-135.33,274.09,75,100,4.63,US,1669910733
58,yarada,17.65,83.2667,299.33,89,1,1.03,IN,1669910621
59,cabedelo,-6.9811,-34.8339,301.26,64,68,6.8,BR,1669910645
60,atuona,-9.8,-139.0333,298.13,80,23,7.5,PF,1669910733
61,faanui,-16.4833,-151.75,299.25,80,78,5.55,PF,1669910733
62,nantucket,41.2835,-70.0995,279.23,51,4,13.47,US,1669910733
63,torbay,47.6666,-52.7314,277.75,86,94,2.68,CA,1669910733
